HNodes, LRate, Epochs, Error, Diff, STime, ETime
20, 1.0e-3, 3, 0.8273, 4406.468008254s, 2018-03-29 10:40:21.54897458 UTC, 2018-03-29 11:53:48.016982834 UTC
20, 1.0e-3, 5, 0.8668, 7113.929687551s, 2018-03-29 11:53:48.049724806 UTC, 2018-03-29 13:52:21.979412357 UTC
20, 1.0e-3, 8, 0.885, 11510.343407953s, 2018-03-29 13:52:21.993552143 UTC, 2018-03-29 17:04:12.336960096 UTC
20, 1.0e-3, 13, 0.9063, 18537.478345516s, 2018-03-29 17:04:12.358145655 UTC, 2018-03-29 22:13:09.836491171 UTC
20, 1.0e-2, 3, 0.9087, 4395.760446233s, 2018-03-29 22:13:09.87192028 UTC, 2018-03-29 23:26:25.632366513 UTC
20, 1.0e-2, 5, 0.9194, 7183.132860451s, 2018-03-29 23:26:25.672189087 UTC, 2018-03-30 01:26:08.805049538 UTC
20, 1.0e-2, 8, 0.9276, 11418.247521764s, 2018-03-30 01:26:08.866746542 UTC, 2018-03-30 04:36:27.114268306 UTC
5, 1.0e-3, 3, 0.2081, 2229.102054s, 2018-03-30 09:00:00.701756 UTC, 2018-03-30 09:37:09.80381 UTC
5, 1.0e-3, 5, 0.312, 4173.947564s, 2018-03-30 09:37:09.948177 UTC, 2018-03-30 10:46:43.895741 UTC
5, 1.0e-3, 8, 0.3732, 6514.628416s, 2018-03-30 10:46:44.056709 UTC, 2018-03-30 12:35:18.685125 UTC
5, 1.0e-3, 13, 0.4006, 10300.206626s, 2018-03-30 12:35:18.839633 UTC, 2018-03-30 15:26:59.046259 UTC
5, 1.0e-2, 3, 0.4847, 2512.961422s, 2018-03-30 15:26:59.191656 UTC, 2018-03-30 16:08:52.153078 UTC
5, 1.0e-2, 5, 0.3933, 4012.388603s, 2018-03-30 16:08:52.287031 UTC, 2018-03-30 17:15:44.675634 UTC
5, 1.0e-2, 8, 0.5607, 6501.159364s, 2018-03-30 17:15:44.831571 UTC, 2018-03-30 19:04:05.990935 UTC
5, 1.0e-2, 13, 0.6032, 10299.517526s, 2018-03-30 19:04:06.136115 UTC, 2018-03-30 21:55:45.653641 UTC
5, 0.1, 3, 0.4655, 2428.728882s, 2018-03-30 21:55:45.799918 UTC, 2018-03-30 22:36:14.5288 UTC
5, 0.1, 5, 0.5435, 4109.33937s, 2018-03-30 22:36:14.68862 UTC, 2018-03-30 23:44:44.02799 UTC
5, 0.1, 8, 0.6399, 6467.891334s, 2018-03-30 23:44:44.163882 UTC, 2018-03-31 01:32:32.055216 UTC
5, 0.1, 13, 0.763, 10403.969871s, 2018-03-31 01:32:32.207652 UTC, 2018-03-31 04:25:56.177523 UTC
10, 1.0e-3, 3, 0.6417, 4803.257278s, 2018-03-31 04:25:56.354059 UTC, 2018-03-31 05:45:59.611337 UTC
10, 1.0e-3, 5, 0.7151, 7997.711962s, 2018-03-31 05:45:59.852556 UTC, 2018-03-31 07:59:17.564518 UTC
10, 1.0e-3, 8, 0.7591, 12619.224317s, 2018-03-31 07:59:17.789117 UTC, 2018-03-31 11:29:37.013434 UTC
10, 1.0e-2, 3, 0.8783, 4805.708182s, 2018-03-31 17:15:19.041867 UTC, 2018-03-31 18:35:24.750049 UTC
10, 1.0e-2, 5, 0.8974, 7965.365716s, 2018-03-31 18:35:24.983349 UTC, 2018-03-31 20:48:10.349065 UTC
10, 1.0e-2, 8, 0.8939, 12716.140725s, 2018-03-31 20:48:10.546484 UTC, 2018-04-01 00:20:06.687209 UTC
10, 0.1, 3, 0.8787, 4850.462173s, 2018-04-01 06:05:53.718572 UTC, 2018-04-01 07:26:44.180745 UTC
10, 0.1, 5, 0.8839, 7912.101285s, 2018-04-01 07:26:44.411974 UTC, 2018-04-01 09:38:36.513259 UTC
10, 0.1, 8, 0.8948, 12785.237648s, 2018-04-01 09:38:36.746771 UTC, 2018-04-01 13:11:41.984419 UTC
